company_name,cluster,mention_rate,queries_tested,mentioned_count,competitors_that_appeared,named_recall_check
"Adaptional",insurance,0%,5,0,"",""
"Aegis",insurance,0%,5,0,"",""
"Avallon AI",insurance,0%,5,0,"",""
"Basepilot",insurance,0%,5,0,"",""
"CopyCat",insurance,0%,5,0,"",""
"Hedge",insurance,0%,5,0,"",""
"Kinro",insurance,0%,5,0,"",""
"Klaimee",insurance,0%,5,0,"",""
"Mount",insurance,0%,5,0,"",""
"Alex",recruiting-hr,0%,5,0,"",""
"Asendia AI",recruiting-hr,0%,5,0,"",""
"Contrario",recruiting-hr,0%,5,0,"",""
"Grade",recruiting-hr,0%,5,0,"",""
"Outship",recruiting-hr,0%,5,0,"",""
"Perfectly",recruiting-hr,0%,5,0,"",""
"Prism",recruiting-hr,0%,5,0,"",""
"Saffron",recruiting-hr,0%,5,0,"",""
"SpottLeuven",recruiting-hr,0%,5,0,"",""
"Standout",recruiting-hr,0%,5,0,"",""
"Alt-X",fintech-finance,0%,5,0,"LATO; Revi",""
"Altur",fintech-finance,0%,5,0,"LATO; Revi",""
"Arva AI",fintech-finance,0%,5,0,"LATO; Revi",""
"Clarum",fintech-finance,0%,5,0,"LATO; Revi",""
"Cohesion",fintech-finance,0%,5,0,"LATO; Revi",""
"Collar",fintech-finance,0%,5,0,"LATO; Revi",""
"Domu Technology Inc.",fintech-finance,0%,5,0,"LATO; Revi",""
"Fenrock AI",fintech-finance,0%,5,0,"LATO; Revi",""
"Kenley",fintech-finance,0%,5,0,"LATO; Revi",""
"MouseCat",fintech-finance,0%,5,0,"LATO; Revi",""
"o11",fintech-finance,0%,5,0,"LATO; Revi",""
"PathPilot",fintech-finance,0%,5,0,"LATO; Revi",""
"Pearson Labs",fintech-finance,0%,5,0,"LATO; Revi",""
"Proximitty",fintech-finance,0%,5,0,"LATO; Revi",""
"Soria",fintech-finance,0%,5,0,"LATO; Revi",""
"Veritus",fintech-finance,0%,5,0,"LATO; Revi",""
"WithAI",fintech-finance,0%,5,0,"LATO; Revi",""
"Zolvo",fintech-finance,0%,5,0,"LATO; Revi",""
"Amorphic Labs",sales-gtm,0%,5,0,"",""
"Boom AI",sales-gtm,0%,5,0,"",""
"Cardinal",sales-gtm,0%,5,0,"",""
"Chasi",sales-gtm,0%,5,0,"",""
"Ergo",sales-gtm,0%,5,0,"",""
"Fixture",sales-gtm,0%,5,0,"",""
"Gojiberry AI",sales-gtm,0%,5,0,"",""
"item",sales-gtm,0%,5,0,"",""
"Karumi",sales-gtm,0%,5,0,"",""
"Kinect",sales-gtm,0%,5,0,"",""
"Octolane AI",sales-gtm,0%,5,0,"",""
"OpenFunnel",sales-gtm,0%,5,0,"",""
"Orange Slice",sales-gtm,0%,5,0,"",""
"Primer",sales-gtm,0%,5,0,"",""
"Robby",sales-gtm,0%,5,0,"",""
"throxy",sales-gtm,0%,5,0,"",""
"Topo",sales-gtm,0%,5,0,"",""
"Andco",legal,0%,5,0,"",""
"Blueshoe",legal,0%,5,0,"",""
"LegalOS",legal,0%,5,0,"",""
"Mimos",legal,0%,5,0,"",""
"Osmaura",legal,0%,5,0,"",""
"Payna",legal,0%,5,0,"",""
"Rescript",legal,0%,5,0,"",""
"Stilta",legal,0%,5,0,"",""
"Third Chair",legal,0%,5,0,"",""
"Vector Legal",legal,0%,5,0,"",""
"Vesence",legal,0%,5,0,"",""
"Apten",marketing-content,0%,5,0,"",""
"Cardboard",marketing-content,0%,5,0,"",""
"Corvera",marketing-content,0%,5,0,"",""
"Kuli",marketing-content,0%,5,0,"",""
"Leadbay",marketing-content,0%,5,0,"",""
"Light Anchor",marketing-content,0%,5,0,"",""
"Memoir",marketing-content,0%,5,0,"",""
"Overlap",marketing-content,0%,5,0,"",""
"Pluto",marketing-content,0%,5,0,"",""
"Remix",marketing-content,0%,5,0,"",""
"Sitefire",marketing-content,0%,5,0,"",""
"Tell if AI",marketing-content,0%,5,0,"",""
"Wideframe",marketing-content,0%,5,0,"",""
"Arctic Health",healthcare,0%,5,0,"",""
"Avelis Health",healthcare,0%,5,0,"",""
