name,description,batch,tags
Amplemarket,AI-powered sales engagement platform for SDRs and AEs with automated sequences,S21,sales,
Regie AI,AI content and outbound email generation for sales teams,S21,sales marketing
Leiga,AI project management assistant that automates team status updates,S22,productivity
Glia,AI customer service platform for financial services contact centers,W18,customer support finance
Recall AI,Meeting recorder and AI summarisation tool for sales calls and note-taking,W22,dev-tooling productivity
Sweep,AI code reviewer and bug-fixer for engineering teams,S23,dev-tooling coding
Gradient Labs,Customer support automation AI agent for enterprise help desks,W25,customer support
Thoughtly,AI phone agent builder — drag and drop voice AI for businesses,S23,customer support voice
Rondo,AI recruiting assistant that screens candidates and schedules interviews,W24,recruiting hr
Twain,AI communication coach for writing cold outbound sales messages,S21,sales marketing
