name,description
Adaptional,AI-powered insurance claims review
Aegis,AI Agents to win denied health insurance claims.
Agentcard,debit cards for AI agents.
Agentic Fabriq,The control plane for AI agents.
Agentin AI,AI Agents that automate enterprise software processes
AgentPhone,Phone Numbers for AI Agents
Agnost AI,Product analytics for teams building conversational agents
Alex,Your AI recruiter for interviewing and identifying the best talent
Alkera AI,Reliable and safe data engineering and data science agents
Allowance,The spend control layer for AI agents
Almanac,Self updating wiki for your coding agents
Alt-X,Building the best venue for private markets exposure.
Altur,Voice AI Agents for Debt Collection
Amboras,AI Native Shopify
Amorphic Labs,Agentic Personalized Product Demo Videos for Sales
Amulet,High performance file system for agents
Andco,Agents that build personal injury cases
Approxima,Your software should build itself.
Apten,Omnichannel AI agents that engage leads across SMS voice and email
Archal,The improvement loop for AI agents
Arctic Health,AI-native credentialing and contracting for healthcare
Arden,AI-native internal audit firm
Armature,Improve how users experience your product through AI Agents
Arva AI,AI Agents to scale AML KYB and KYC operations
Asendia AI,AI recruiters for staffing agencies
Ashr,Automated Multi-Modal Testing for Agents
Assemble,Agents for Enterprise IT
Aster,Automating open-ended research.
Async,We transform small businesses with AI agents
Atrisa,AI Agents for Analog Circuit Design
Autosana,AI agents for E2E testing across mobile and web
AutoSitu,AI-native workspace for development plan reviews
Autostep,The P&L for knowledge work
Avallon AI,AI agents for insurance claims operations
Avelis Health,We audit medical claims for self-insured employers and health plans.
Avent,AI agents for industrial commerce
Avoice,Harvey for Architecture
Balance,Full-Stack AI Accounting
Basepilot,AI agents for insurance claims
BeeSafe AI,Frontier AI Defenses for Social Engineering Attacks
BentoLabs AI,Monitoring and learning layer for long-running agents
Bluebook,AI for accounting
Blueshoe,The AI-Native Consumer and Plaintiff Law Firm
Boom AI,AI agents that recover lost revenue through real conversations.
Buildbox,Understand how users experience your AI agents
Burt,AI teammates for logistics
Callab AI,AI voice agents for on-prem telephony stack.
Captain,Give AI agents accurate knowledge search that scales
Cardboard,Agentic video editor
Cardinal,Revenue Agents for GTM teams
Care GP,AI agents to run primary healthcare operations
Careforce,AI Workers for Healthcare Orgs to Find Call and Schedule More Patients.
Cascade,Distilling Proprietary Intelligence
CellType,The agentic drug company. We simulate human biology.
Cenote,AI agents for conversational commerce
CentralComs,AI Agents for Property Management
Cerenovus,A knowledge company
Chasi,AI Revenue Engine for the Equipment Industry
Chronicle Labs,Staging Environments for Enterprise AI Agents
Cifrato,AI Accountant for Accounting Firms
Cignara,AI Customer Support for Fortune 500-scale enterprises
Clarion,The AI communication layer for healthcare
Clarm,Build governed AI agents on your own data without code
Clarum,AI agents for private market diligence monitoring and reporting
Clawvisor,The Authorization Layer for AI Agents
Clicks Health,AI agents for your healthcare back-office operations.
Cohesion,Agents that automate research for institutional investors
Collar,The platform for AI-native private market investors.
Comena,AI agents for distributors and manufacturers to automate order entry.
Complir,Vanta for physical products
Conduit,AI Agents for Hospitality
Context.dev,We give AI agents realtime web context.
Contrario,AI hiring platform powered by expert recruiters
Copperlane,Agentic Mortgage Origination
CopyCat,AI agents built for insurance.
Corelayer,AI production engineer for regulated industries
Corvera,The context layer for AI-native CPG brands
Cotool,AI Agents for Security Operations Teams
Cova,AI-Native Home Care Agency
Cranston AI,AI Tax prep and accounting software for CPA firms
Crunched,Excel AI analyst for Power Users
Crustdata,Real-time B2B data via simple APIs
Dayjob,AI Scheduling for Short Haul Trucks
Decawork,The Agent Control Plane for IT teams
Deeptrace,AI agents for on-call
Denta,The dental practice that runs itself
Dialogus,Infra for enterprise voice agents.
Discovered Materials,AI scientists to discover materials for the semiconductor industry.
Docket,AI agents for web testing
Dodo,AI agents that handle communications for clinics
Domu Technology Inc.,AI Agents for collections
Egoist Machines,User-owned memory and preferences that work across every AI app
Egress Health,Automated revenue cycle management starting with dentists
Elyra,AI Reservation System for Restaurants
End Close,AI powered reconciliation for high-volume payments companies
Enjamb Labs,Where drug teams run their entire program discovery to FDA approval
Envariant,Interpretability and reasoning infra for foundation models.
Ergo,AI agents and unified data layer for revenue teams
Experiential Labs,Continual Learning for Agents
Fabraix,The world's frontier hacker for AI agents.
Fazeshift,AI agent for Accounts Receivable
Fed10,AI Agents for Government Affairs
Fenrock AI,AI agents for banks
Fixture,An AI-first CRM built for Startups
flowscope,AI-native consulting to map and automate business processes
Foaster,The AI-native McKinsey
Fuchsia,Vanta for hardware
FullSeam,AI agents for corporate accounting teams
Galen AI,Personal AI healthcare agent powered by clinical and wearable data.
Gigacatalyst,Let software users build new features with our in-app AI agents
Glen,Unified organizational context for agents and humans
Gojiberry AI,AI Go-To-Market agents for B2B teams
GovGuard,Automating Government Workflows starting with FOIA
Grade,API for performance-based payroll
Gravy,Agents that move money trade stocks and file taxes.
Hedge,AI-Native insurance company
Hessian,Forward-deployed AI Agents
HeyClicky,The simplest interface in the world to talk AI models plus spawn agents
Hubble,The intelligence layer for patient information
Humwork,Human experts as API for AI Agents
Illume Labs,24/7 Personal Health and Longevity Companion
IncidentFox,AI SRE agent that triages coordinates and fixes production incidents
Inkbox,Give your AI agents email phone iMessage and an internet address
InsForge,The agent-native AWS
InspectMind AI,AI agent for construction drawings review
Inth,Enterprise privacy governance for companies that ship fast
item,The AI-Native CRM that works for you
jo,The personal AI agent that keeps up with your work and life.
Karumi,The Waymo of Personalized demos
Kastle,AI agents for mortgage servicing
Kenley,AI Agents for Advisory and Financial Services.
Kestrel AI,AI Agents for Platform Engineering
Keyframe Labs,Turn agents into lifelike video calls with AI avatars
Khotan,AI Agents for the supply chain.
Kimpton AI,The IDE for Investors
Kinect,The AI revenue platform for D2C brands
Kinro,Autonomous insurance brokerage for small businesses
Klaimee,Liability insurance for AI Agents. You deploy agents we cover you.
Klarify,AI Agent for Therapists
Kuli,AI coworker for marketing teams at the largest consumer brands
Lab0,AI FDEs to make your B2B SaaS Go Live in Days not Months
Lance,AI Agents That Run Hotel Operations.
Last Accounting Company,Agent-native accounting firm.
LATO,Agent-native research and simulation platform for investors
Layers,A 30 min appointment to measure everything in your body
Leadbay,Qualified leads for agentic workflows.
LedgerUp,AI agents that handles complex billing and revenue
LegalOS,The AI-Native Immigration Law Firm
LemonLime,No-code AI that learns your business and self-creates automations.
Light Anchor,AI-run consumer brands
Linzumi,Team chat to command all your company's coding agents
Locata,AI Referral Automation for Primary Care Clinics
Macadamia,AI Agents for Complex Engineering Projects
machine0,Cloud computers for AI agents
Magnetic,AI Tax Preparer for CPA firms
Mango Medical,Foundation models for planning orthopedic surgery
Manicule,AgentRel Devrel For Agents
Marble,The autonomous back-of-house for restaurants.
MarkIt,AI Agents for Trade Compliance Saving Companies from Tariffs
Maven,Payments Infrastructure for Voice Agents
mdhub,AI-native operating system for behavioral health clinics.
Memoir,Marketing campaigns from everything your team ships
Memory Store,Company Brain.
Mimos,The growth OS for plaintiff-side law firms
Minerva,AI native accounting firm
Minimal AI,AI Agents for E-commerce Customer Support
Mireye,Infrastructure for Physical World AI Agents
Moda,Continual learning for AI agents
Mount,The AI Agent Insurance Carrier
MouseCat,AI-powered fraud investigations
MOVEdot,AI Agents for Hardware Engineering
Nebula Security,A security engineer in your team
NOSO LABS,Build AI agents for field technicians to diagnose and sell 10x better
Novoflow,AI employees that automate medical operations for clinics.
o11,Bespoke AI For Financial Firms
Octolane AI,Revenue Superintelligence
OneCLI,The Identity Gateway for AI Agents
OneGrep,AI Agent for DevOps Workflow Automation
Ontora,AI agents that interviews every employee to hand context to AI tools.
Ooak Data,We build the world's largest library of real-world business workflows
OpenFunnel,We monitor your TAM and surface companies when custom triggers fire.
Orange Slice,Agentic sales enrichment spreadsheet
Osmaura,AI growth engine for law firms.
Outship,Hire amazing engineers by seeing how they use AI
Overlap,Multimodal AI agents for video
Overshoot,AI Infra for real-time vision applications
Pango,Agentic OS for e-commerce operations
Parallel,AI agents for healthcare admin
Parameter,Agentic Offensive Security at Scale
PathPilot,AI Agents for Lending Operations
Patientdesk.ai,AI front and back office agent for dental practices
Payna,AI Licensing Agent for Regulated Industries
Pearson Labs,AI agents to automate corporate transactions
Perfectly,The AI-native Recruiting OS
Perspectives Health,Automating away admin for behavioral health clinics
PLAN0 AI,Construction Cost Intelligence.
Playgent,Sandboxes for AI agents
Pluto,AI voice agent that helps professionals get discovered
Pollen,AI agents that automate customer success
Polymath,Simulation environments to train and evaluate long-horizon AI agents
Powder,AI Agents for precise document analysis
Prana,An AI primary care doctor in your pocket
Primer,AI Product Demos
Prism,AI-native recruiting agency
ProcIndex,AI Agents for Accounting Operations
Prototyping.io,Autonomous manufacturing for mechanical parts
Proximitty,AI operating system for commercial loans
qomplement,The Agentic ERP for supply chain operations
Raindrop,Sentry for AI Agents
Rational,AI Employees for Accounting
RealPact,AI-native OS for Real Estate Brokerages
ReasonBlocks,The runtime layer that makes AI agents cheaper and more reliable
Reframe,AI-native hardware procurement marketplace
Relari,AI Agent Builder for Software 3.0
Remedy,AI Agents for Pharmacies
Remix,Social media content auto-generated with your existing data
RentAHuman,Marketplace for AI agents to hire humans.
Reprompt,AI Agents for Location
Rescript,AI for Legal and Public Policy Teams
Ressl AI,Train eval and build autonomous agents
Revi,AI-enabled M&A deal origination
Revnu,The growth infrastructure for the autonomous business
